Venue,Opponent,xG,xGA,poss,diff,Press,relative,relativexg
Away,Alavés,2.4,0.8,73,1.6,24,1.39,-0.21
Home,Alavés,1.8,0.6,77,1.2,28,1.39,0.19
Away,Athletic Club,2.5,1.3,60,1.2,59,1.07,-0.13
Home,Athletic Club,1.8,0.8,59,1,108,1.07,0.07
Away,Atlético Madrid,1.5,0.5,68,1,27,0.71,-0.29
Home,Atlético Madrid,1.2,0.2,57,1,61,0.71,-0.29
Home,Betis,1.7,0.3,60,1.4,47,1.22,-0.18
Away,Betis,2.4,0.4,52,2,59,1.22,-0.78
Home,Celta Vigo,3,1.4,65,1.6,27,0.99,-0.61
Away,Celta Vigo,1.7,3.1,52,-1.4,55,0.99,2.39
Home,Eibar,2.5,1.1,60,1.4,67,1.17,-0.23
Away,Eibar,2.4,0.6,53,1.8,104,1.17,-0.63
Home,Espanyol,3.5,0.7,75,2.8,59,1.11,-1.69
Away,Espanyol,0.7,0.6,71,0.1,48,1.11,1.01
Away,Getafe,0.6,0.9,70,-0.3,21,0.8,1.1
Home,Getafe,1,0.4,77,0.6,45,0.8,0.2
Away,Girona,1.3,1.1,60,0.2,45,1.03,0.83
Home,Girona,3,1,63,2,68,1.03,-0.97
Home,La Coruña,5.9,0.4,60,5.5,37,1.26,-4.24
Away,La Coruña,3.5,2.5,62,1,47,1.26,0.26
Home,Las Palmas,3.3,0.6,48,2.7,20,1.79,-0.91
Away,Las Palmas,1.2,1.3,63,-0.1,49,1.79,1.89
Away,Leganés,1.9,1.1,67,0.8,40,1.17,0.37
Home,Leganés,2.4,0.6,69,1.8,33,1.17,-0.63
Home,Levante,1.9,0.9,71,1,16,1.53,0.53
Away,Levante,2.3,3.7,64,-1.4,31,1.53,2.93
Home,Málaga,1.7,0.7,64,1,38,1.56,0.56
Away,Málaga,2.3,0.6,75,1.7,28,1.56,-0.14
Away,Real Madrid,2.5,1,55,1.5,73,0.03,-1.47
Home,Real Madrid,1.3,2.1,50,-0.8,52,0.03,0.83
Away,Real Sociedad,1.3,0.8,50,0.5,69,0.83,0.33
Home,Real Sociedad,1.1,0.7,63,0.4,41,0.83,0.43
Home,Sevilla,2,0.4,52,1.6,32,0.96,-0.64
Away,Sevilla,2.1,3,60,-0.9,42,0.96,1.86
Away,Valencia,1,1.2,69,-0.2,49,0.71,0.91
Home,Valencia,1.7,2.5,63,-0.8,47,0.71,1.51
Away,Villarreal,3,0.6,68,2.4,31,1.08,-1.32
Home,Villarreal,3.3,1.2,56,2.1,47,1.08,-1.02
Home,Alavés,3.1,0.3,79,2.8,31,1.24,-1.56
Away,Alavés,2.5,0.3,76,2.2,38,1.24,-0.96
Home,Athletic Club,2.9,0.8,69,2.1,37,0.97,-1.13
Away,Athletic Club,0.9,1.4,66,-0.5,46,0.97,1.47
Away,Atlético Madrid,0.5,0.1,68,0.4,36,0.69,0.29
Home,Atlético Madrid,2.2,0.5,64,1.7,34,0.69,-1.01
Home,Betis,4.2,2,56,2.2,23,0.84,-1.36
Away,Betis,2.9,1,44,1.9,51,0.84,-1.06
Home,Celta Vigo,1.2,0.7,52,0.5,77,1.27,0.77
Away,Celta Vigo,0.5,1.8,65,-1.3,30,1.27,2.57
Home,Eibar,1.5,0.8,58,0.7,97,0.73,0.03
Away,Eibar,1,1.3,60,-0.3,75,0.73,1.03
Away,Espanyol,2.6,1.1,55,1.5,47,0.93,-0.57
Home,Espanyol,1.1,0.2,68,0.9,32,0.93,0.03
Away,Getafe,2,1.4,76,0.6,53,0.77,0.17
Home,Getafe,2.3,1.1,78,1.2,71,0.77,-0.43
Home,Girona,1.3,0.9,67,0.4,19,1.19,0.79
Away,Girona,2.3,1.2,64,1.1,88,1.19,0.09
Home,Huesca,5,1.2,67,3.8,12,1.17,-2.63
Away,Huesca,1,0.3,72,0.7,40,1.17,0.47
Away,Leganés,0.6,1.1,76,-0.5,40,0.95,1.45
Home,Leganés,1.6,0.6,72,1,77,0.95,-0.05
Away,Levante,3,1.1,57,1.9,52,1.35,-0.55
Home,Levante,2.1,0.7,62,1.4,35,1.35,-0.05
Away,Rayo Vallecano,1.2,1.4,68,-0.2,28,1.24,1.44
Home,Rayo Vallecano,2.9,0.3,68,2.6,24,1.24,-1.36
Home,Real Madrid,3,2.1,53,0.9,27,0.47,-0.43
Away,Real Madrid,1.6,1.1,51,0.5,60,0.47,-0.03
Away,Real Sociedad,1.4,1.2,68,0.2,25,0.81,0.61
Home,Real Sociedad,1,1,51,0,52,0.81,0.81
Home,Sevilla,2.5,1.8,53,0.7,60,0.37,-0.33
Away,Sevilla,1.7,1.1,60,0.6,63,0.37,-0.23
Away,Valencia,0.4,1.4,75,-1,13,0.43,1.43
Home,Valencia,1.8,2.9,68,-1.1,43,0.43,1.53
Away,Valladolid,0.9,0.3,63,0.6,15,1.21,0.61
Home,Valladolid,3.5,0.4,61,3.1,24,1.21,-1.89
Home,Villarreal,1.2,0.7,62,0.5,25,0.95,0.45
Away,Villarreal,2.4,2.8,67,-0.4,49,0.95,1.35
