country,date,CO2
Brazil,1960,0.649885857
Brazil,1961,0.662130535
Brazil,1962,0.701775494
Brazil,1963,0.706049512
Brazil,1964,0.699884334
Brazil,1965,0.676455201
Brazil,1966,0.750374992
Brazil,1967,0.751887365
Brazil,1968,0.856553524
Brazil,1969,0.909093429
Brazil,1970,0.985788081
Brazil,1971,1.052857819
Brazil,1972,1.145237632
Brazil,1973,1.29536175
Brazil,1974,1.370088081
Brazil,1975,1.40990567
Brazil,1976,1.413180657
Brazil,1977,1.449507777
Brazil,1978,1.53686272
Brazil,1979,1.59759916
Brazil,1980,1.550121144
Brazil,1981,1.390352265
Brazil,1982,1.3610983
Brazil,1983,1.28724351
Brazil,1984,1.275133155
Brazil,1985,1.33986352
Brazil,1986,1.440047603
Brazil,1987,1.47297773
Brazil,1988,1.457685267
Brazil,1989,1.462631956
Brazil,1990,1.330575227
Brazil,1991,1.353001626
Brazil,1992,1.352656787
Brazil,1993,1.37189196
Brazil,1994,1.396952923
Brazil,1995,1.490557743
Brazil,1996,1.597062891
Brazil,1997,1.683581162
Brazil,1998,1.712516222
Brazil,1999,1.744558457
Brazil,2000,1.788828844
Brazil,2001,1.803426195
Brazil,2002,1.767207182
Brazil,2003,1.701508643
Brazil,2004,1.775807036
Brazil,2005,1.775721997
Brazil,2006,1.774909381
Brazil,2007,1.84883594
Brazil,2008,1.938026863
Brazil,2009,1.809460643
Brazil,2010,2.032203816
Brazil,2011,2.111844515
Brazil,2012,2.266878111
Brazil,2013,2.401859521
Brazil,2014,2.499362016
Brazil,2015,2.347365731
Brazil,2016,2.143497524
Brazil,2017,2.164421504
Brazil,2018,2.041874199
Japan,1960,2.497223223
Japan,1961,3.010133103
Japan,1962,3.088711554
Japan,1963,3.391267602
Japan,1964,3.708020691
Japan,1965,3.950096353
Japan,1966,4.246220625
Japan,1967,4.904753392
Japan,1968,5.569348596
Japan,1969,6.397617977
Japan,1970,7.435211938
Japan,1971,7.545561028
Japan,1972,7.961462468
Japan,1973,8.424010496
Japan,1974,8.313879441
Japan,1975,7.79823754
Japan,1976,8.059433562
Japan,1977,8.212847276
Japan,1978,7.865830359
Japan,1979,8.245924584
Japan,1980,8.112280386
Japan,1981,7.900719032
Japan,1982,7.597913817
Japan,1983,7.408104093
Japan,1984,7.829008203
Japan,1985,7.575468416
Japan,1986,7.534733854
Japan,1987,7.419855426
Japan,1988,8.068997495
Japan,1989,8.333129301
Japan,1990,8.848215877
Japan,1991,8.919202349
Japan,1992,8.981072936
Japan,1993,8.889440755
Japan,1994,9.290290626
Japan,1995,9.347025631
Japan,1996,9.432715475
Japan,1997,9.313167853
Japan,1998,8.949762658
Japan,1999,9.206987231
Japan,2000,9.32609604
Japan,2001,9.206678778
Japan,2002,9.470516693
Japan,2003,9.519253355
Japan,2004,9.479340331
Japan,2005,9.49981608
Japan,2006,9.309524927
Japan,2007,9.58086265
Japan,2008,9.055074456
Japan,2009,8.600045296
Japan,2010,9.026938393
Japan,2011,9.482449759
Japan,2012,9.811406499
Japan,2013,9.893679627
Japan,2014,9.584053553
Japan,2015,9.292832367
Japan,2016,9.22394197
Japan,2017,9.085639143
Japan,2018,8.74225771
United Kingdom,1960,11.15075916
United Kingdom,1961,11.15413892
United Kingdom,1962,11.14292839
United Kingdom,1963,11.25485346
United Kingdom,1964,11.26583889
United Kingdom,1965,11.45615951
United Kingdom,1966,11.31896078
United Kingdom,1967,10.78410455
United Kingdom,1968,10.99348823
United Kingdom,1969,11.34267041
United Kingdom,1970,11.7323973
United Kingdom,1971,11.82303629
United Kingdom,1972,11.56235418
United Kingdom,1973,11.74552694
United Kingdom,1974,10.98359286
United Kingdom,1975,10.73605364
United Kingdom,1976,10.65454202
United Kingdom,1977,10.76186851
United Kingdom,1978,10.76729499
United Kingdom,1979,11.46539104
United Kingdom,1980,10.28675704
United Kingdom,1981,9.955296648
United Kingdom,1982,9.740461658
United Kingdom,1983,9.687798405
United Kingdom,1984,9.381702909
United Kingdom,1985,9.900139784
United Kingdom,1986,10.03463939
United Kingdom,1987,10.06774667
United Kingdom,1988,10.02074396
United Kingdom,1989,10.19193063
United Kingdom,1990,9.724252827
United Kingdom,1991,9.931929003
United Kingdom,1992,9.603614785
United Kingdom,1993,9.364743235
United Kingdom,1994,9.252278701
United Kingdom,1995,9.036517846
United Kingdom,1996,9.363736624
United Kingdom,1997,8.956743523
United Kingdom,1998,8.976845013
United Kingdom,1999,8.901466411
United Kingdom,2000,9.001483618
United Kingdom,2001,9.209793836
United Kingdom,2002,8.930869498
United Kingdom,2003,9.088047281
United Kingdom,2004,9.040489079
United Kingdom,2005,8.950152419
United Kingdom,2006,8.901697739
United Kingdom,2007,8.62913807
United Kingdom,2008,8.322844364
United Kingdom,2009,7.468655396
United Kingdom,2010,7.67592643
United Kingdom,2011,7.025424601
United Kingdom,2012,7.332471327
United Kingdom,2013,7.064902559
United Kingdom,2014,6.421598191
United Kingdom,2015,6.148544958
United Kingdom,2016,5.774741668
United Kingdom,2017,5.546265944
United Kingdom,2018,5.398708138
China,1960,1.170381372
China,1961,0.836046901
China,1962,0.661428164
China,1963,0.640001899
China,1964,0.625646054
China,1965,0.665524211
China,1966,0.710891382
China,1967,0.574162147
China,1968,0.605451997
China,1969,0.725149509
China,1970,0.942934535
China,1971,1.042239697
China,1972,1.080676637
China,1973,1.098195691
China,1974,1.097367111
China,1975,1.250124095
China,1976,1.285283136
China,1977,1.388842897
China,1978,1.52920111
China,1979,1.542675099
China,1980,1.495250749
China,1981,1.460431817
China,1982,1.566739684
China,1983,1.629055908
China,1984,1.75044806
China,1985,1.871054791
China,1986,1.939434257
China,1987,2.038410689
China,1988,2.150905225
China,1989,2.153077911
China,1990,1.914542564
China,1991,2.000547455
China,1992,2.07574444
China,1993,2.243245307
China,1994,2.31902906
China,1995,2.560366185
China,1996,2.517251858
China,1997,2.543462797
China,1998,2.602487248
China,1999,2.513859675
China,2000,2.648479977
China,2001,2.772929198
China,2002,2.974328335
China,2003,3.425411363
China,2004,3.951800629
China,2005,4.463473752
China,2006,4.906034996
China,2007,5.302594688
China,2008,5.431610495
China,2009,5.79534426
China,2010,6.332165911
China,2011,6.902792141
China,2012,7.058003472
China,2013,7.320485052
China,2014,7.252919144
China,2015,7.169112177
China,2016,7.118705414
China,2017,7.225768991
China,2018,7.405211347
