country,gov_spend,gov_tax,year,avg_spend,avg_tax
Portugal,,11.48633848,1973,,
Portugal,,11.77968912,1974,,
Portugal,23.71838777,12.31415017,1975,23.71838777,11.86005926
Portugal,25.93066929,13.84378894,1976,24.82452853,12.64587608
Portugal,,14.11276532,1977,24.82452853,13.42356814
Portugal,26.15826446,13.45697383,1978,26.04446687,13.80450936
Portugal,25.97662559,13.76768835,1979,26.06744503,13.7791425
Portugal,27.36803861,15.18085124,1980,26.50097622,14.13517114
Portugal,29.58128,16.09136272,1981,27.6419814,15.01330077
Portugal,29.07991424,16.59471789,1982,28.67641095,15.95564395
Portugal,30.80408502,18.33797402,1983,29.82175975,17.00801821
Portugal,29.51208632,18.01063441,1984,29.79869519,17.64777544
Portugal,33.5760831,17.61591829,1985,31.29741815,17.98817557
Portugal,33.6617596,17.55125423,1986,32.24997634,17.72593564
Portugal,30.13159489,15.57442685,1987,32.4564792,16.91386646
Portugal,29.79354259,16.98673207,1988,31.19563236,16.70413772
Portugal,31.15377552,17.73912161,1989,30.35963767,16.76676018
Portugal,32.32229974,17.66850202,1990,31.08987262,17.46478523
Portugal,34.73090273,18.29113824,1991,32.73565933,17.89958729
Portugal,35.87915446,20.02626303,1992,34.31078564,18.66196776
Portugal,37.24130701,18.58661807,1993,35.95045473,18.96800645
Portugal,34.97051939,19.35373811,1994,36.03032695,19.3222064
Portugal,36.77798125,19.69493002,1995,36.32993588,19.21176207
Portugal,36.79714844,20.51675843,1996,36.18188303,19.85514219
Portugal,35.83912337,20.26430124,1997,36.47141769,20.15866323
Portugal,37.24795388,20.41265905,1998,36.62807523,20.39790624
Portugal,37.09034044,20.93425596,1999,36.7258059,20.53707208
Portugal,37.25282775,20.87840352,2000,37.19704069,20.74177284
Portugal,38.08935708,20.51404173,2001,37.47750842,20.77556707
Portugal,38.54255765,20.82750272,2002,37.96158083,20.73998265
Portugal,39.82080986,19.88117057,2003,38.81757486,20.40757167
Portugal,40.4098446,19.9795278,2004,39.5910707,20.22940036
Portugal,41.39998331,20.58192839,2005,40.54354593,20.14754225
Portugal,40.114541,21.12516235,2006,40.6414563,20.56220618
Portugal,39.26316598,21.34729712,2007,40.2592301,21.01812929
Portugal,40.30294594,21.04682674,2008,39.89355097,21.1730954
Portugal,43.6779217,19.0577021,2009,41.08134454,20.48394198
Portugal,43.95590033,19.64280941,2010,42.64558932,19.91577942
Portugal,44.27092625,21.13333912,2011,43.96824943,19.94461688
Portugal,44.19802045,20.7701624,2012,44.14161568,20.51543698
Portugal,45.37380226,22.66209209,2013,44.61424965,21.52186454
Portugal,47.435428,22.64739907,2014,45.66908357,22.02655119
Portugal,43.75637012,22.78871911,2015,45.52186679,22.69940342
Portugal,41.12992961,22.33199325,2016,44.10724258,22.58937047
Portugal,41.41690714,22.37058798,2017,42.10106895,22.49710011
Portugal,39.10418576,22.65334671,2018,40.55034084,22.45197598
Portugal,38.49656503,22.20329347,2019,39.67255264,22.40907605
Norway,28.32671692,22.95167975,1972,,
Norway,28.2194754,20.68992057,1973,,
Norway,28.27056969,20.46229859,1974,28.272254,21.36796631
Norway,29.00104161,20.3859202,1975,28.4970289,20.51271312
Norway,31.24633513,21.53182507,1976,29.50598215,20.79334795
Norway,31.76523297,22.08057275,1977,30.67086991,21.33277267
Norway,33.36039494,21.81944171,1978,32.12398768,21.81061318
Norway,33.52993864,22.23869891,1979,32.88518885,22.04623779
Norway,32.64305845,25.11381524,1980,33.17779734,23.05731862
Norway,32.62157786,26.25029793,1981,32.93152498,24.53427069
Norway,33.21115439,25.31305262,1982,32.82526357,25.55905526
Norway,33.09544831,24.5587192,1983,32.97606019,25.37402325
Norway,32.00068709,24.53236615,1984,32.7690966,24.80137932
Norway,31.45170181,25.65460294,1985,32.1826124,24.91522943
Norway,33.88083786,25.62118392,1986,32.44440892,25.26938433
Norway,34.86733609,23.62811577,1987,33.39995858,24.96796754
Norway,36.22553773,22.15427566,1988,34.99123723,23.80119179
Norway,36.74797322,20.47767892,1989,35.94694901,22.08669012
Norway,38.09484437,21.30451018,1990,37.02278511,21.31215492
Norway,38.62549314,21.57610491,1991,37.82277024,21.11943133
Norway,39.73149443,20.73649632,1992,38.81727731,21.2057038
Norway,39.01321019,20.73649755,1993,39.12339926,21.01636626
Norway,38.35828198,21.74282775,1994,39.03432887,21.07194054
Norway,37.95624303,23.00490688,1995,38.4425784,21.82807739
Norway,35.98682813,23.93682586,1996,37.43378438,22.8948535
Norway,34.39982827,23.89191652,1997,36.11429981,23.61121642
Norway,35.9087775,23.96735495,1998,35.4318113,23.93203244
Norway,35.07828542,24.269074,1999,35.12896373,24.04278182
Norway,32.0010907,26.70467324,2000,34.32938454,24.9803674
Norway,32.65243501,26.07929651,2001,33.24393705,25.68434792
Norway,37.62121835,27.18833639,2002,34.09158136,26.65743538
Norway,37.37333093,25.92911222,2003,35.8823281,26.39891504
Norway,35.35596909,27.3951498,2004,36.78350612,26.83753281
Norway,33.26167457,28.30365223,2005,35.33032486,27.20930475
Norway,32.20978768,28.90944752,2006,33.60914378,28.20274985
Norway,32.13869787,28.19971126,2007,32.53672004,28.470937
Norway,30.8514474,27.92462094,2008,31.73331098,28.34459324
Norway,35.57635411,25.96689041,2009,32.85549979,27.36374087
Norway,34.91099098,26.88692442,2010,33.7795975,26.92614526
Norway,34.35262792,27.72208661,2011,34.94665767,26.85863381
Norway,33.94551312,27.04506296,2012,34.40304401,27.21802466
Norway,34.40608695,25.16576453,2013,34.23474267,26.6443047
Norway,35.84395638,23.56828516,2014,34.73185215,25.25970422
Norway,38.38439454,22.22355077,2015,36.21147929,23.65253349
Norway,39.96800669,22.08716304,2016,38.06545254,22.62633299
Norway,39.02015002,22.47754585,2017,39.12418375,22.26275322
Norway,37.45859478,23.4227187,2018,38.81558383,22.66247586
Norway,39.00562367,23.13240229,2019,38.49478949,23.01088895
