,year,trust,tax,date
0,1958,73.0,91.0,1958-01-01
1,1964,77.0,77.0,1964-01-01
2,1966,65.0,70.0,1966-01-01
3,1968,62.0,75.25,1968-01-01
4,1970,54.0,71.75,1970-01-01
5,1972,53.0,70.0,1972-01-01
6,1974,36.0,70.0,1974-01-01
7,1976,35.0,70.0,1976-01-01
8,1977,33.0,70.0,1977-01-01
9,1978,31.0,70.0,1978-01-01
10,1979,28.0,70.0,1979-01-01
11,1980,29.666666666666668,70.0,1980-01-01
12,1982,39.0,50.0,1982-01-01
13,1984,42.5,50.0,1984-01-01
14,1985,42.4,50.0,1985-01-01
15,1986,43.75,50.0,1986-01-01
16,1987,43.0,38.5,1987-01-01
17,1988,41.333333333333336,28.0,1988-01-01
18,1989,40.0,28.0,1989-01-01
19,1990,34.5,28.0,1990-01-01
20,1991,40.75,31.0,1991-01-01
21,1992,26.333333333333332,31.0,1992-01-01
22,1993,25.0,39.6,1993-01-01
23,1994,20.666666666666668,39.6,1994-01-01
24,1995,22.2,39.6,1995-01-01
25,1996,28.75,39.6,1996-01-01
26,1997,28.75,39.6,1997-01-01
27,1998,31.11111111111111,39.6,1998-01-01
28,1999,33.75,39.6,1999-01-01
29,2000,38.2,39.6,2000-01-01
30,2001,49.0,39.1,2001-01-01
31,2002,43.5,38.6,2002-01-01
32,2003,39.5,35.0,2003-01-01
33,2004,39.333333333333336,35.0,2004-01-01
34,2005,32.0,35.0,2005-01-01
35,2006,31.0,35.0,2006-01-01
36,2007,26.0,35.0,2007-01-01
37,2008,24.333333333333332,35.0,2008-01-01
38,2009,22.0,35.0,2009-01-01
39,2010,22.2,35.0,2010-01-01
40,2011,18.8,35.0,2011-01-01
41,2012,19.0,35.0,2012-01-01
42,2013,20.8,39.6,2013-01-01
43,2014,18.5,39.6,2014-01-01
44,2015,18.0,39.6,2015-01-01
45,2017,18.5,39.6,2017-01-01
46,2019,17.0,,2019-01-01
47,2020,22.5,,2020-01-01
48,2021,24.0,,2021-01-01
49,1913,,7.0,1913-01-01
50,1914,,7.0,1914-01-01
51,1915,,7.0,1915-01-01
52,1916,,15.0,1916-01-01
53,1917,,67.0,1917-01-01
54,1918,,77.0,1918-01-01
55,1919,,73.0,1919-01-01
56,1920,,73.0,1920-01-01
57,1921,,73.0,1921-01-01
58,1922,,58.0,1922-01-01
59,1923,,43.5,1923-01-01
60,1924,,46.0,1924-01-01
61,1925,,25.0,1925-01-01
62,1926,,25.0,1926-01-01
63,1927,,25.0,1927-01-01
64,1928,,25.0,1928-01-01
65,1929,,24.0,1929-01-01
66,1930,,25.0,1930-01-01
67,1931,,25.0,1931-01-01
68,1932,,63.0,1932-01-01
69,1933,,63.0,1933-01-01
70,1934,,63.0,1934-01-01
71,1935,,63.0,1935-01-01
72,1936,,79.0,1936-01-01
73,1937,,79.0,1937-01-01
74,1938,,79.0,1938-01-01
75,1939,,79.0,1939-01-01
76,1940,,81.1,1940-01-01
77,1941,,81.0,1941-01-01
78,1942,,88.0,1942-01-01
79,1943,,88.0,1943-01-01
80,1944,,94.0,1944-01-01
81,1945,,94.0,1945-01-01
82,1946,,86.45,1946-01-01
83,1947,,86.45,1947-01-01
84,1948,,82.13,1948-01-01
85,1949,,82.13,1949-01-01
86,1950,,84.36,1950-01-01
87,1951,,91.0,1951-01-01
88,1952,,92.0,1952-01-01
89,1953,,92.0,1953-01-01
90,1954,,91.0,1954-01-01
91,1955,,91.0,1955-01-01
92,1956,,91.0,1956-01-01
93,1957,,91.0,1957-01-01
94,1959,,91.0,1959-01-01
95,1960,,91.0,1960-01-01
96,1961,,91.0,1961-01-01
97,1962,,91.0,1962-01-01
98,1963,,91.0,1963-01-01
99,1965,,70.0,1965-01-01
100,1967,,70.0,1967-01-01
101,1969,,77.0,1969-01-01
102,1971,,70.0,1971-01-01
103,1973,,70.0,1973-01-01
104,1975,,70.0,1975-01-01
105,1981,,69.125,1981-01-01
106,1983,,50.0,1983-01-01
107,2016,,39.6,2016-01-01
108,2018,,37.0,2018-01-01
