time,percentageOfBaseLine
00:00,0.025016029
00:15,0.019134626
00:30,0.014148874
00:45,0.010058771
01:00,0.006864318
01:15,0.00446775
01:30,0.003190514
01:45,0.002810453
02:00,0.002873663
02:15,0.002826664
02:30,0.002700374
02:45,0.002573661
03:00,0.002532526
03:15,0.002675004
03:30,0.002802212
03:45,0.002659015
04:00,0.002292929
04:15,0.001757366
04:30,0.000928
04:45,0
05:00,0
05:15,0.001800369
05:30,0.00739593
05:45,0.01680873
06:00,0.031288424
06:15,0.050381573
06:30,0.073420411
06:45,0.103843544
07:00,0.142129009
07:15,0.183305648
07:30,0.223707749
07:45,0.262504368
08:00,0.29755007
08:15,0.322799158
08:30,0.335336949
08:45,0.339628753
09:00,0.334196642
09:15,0.314496828
09:30,0.282890983
09:45,0.249401072
10:00,0.221087154
10:15,0.19709636
10:30,0.17714708
10:45,0.166305399
11:00,0.162986198
11:15,0.161031598
11:30,0.158951643
11:45,0.159194161
12:00,0.162743742
12:15,0.164795229
12:30,0.163475254
12:45,0.164269652
13:00,0.166166544
13:15,0.166417607
13:30,0.165440012
13:45,0.165451903
14:00,0.167577331
14:15,0.168090341
14:30,0.167123739
14:45,0.169563755
15:00,0.173508298
15:15,0.1762306
15:30,0.181615048
15:45,0.194323087
16:00,0.211445013
16:15,0.226567542
16:30,0.241647966
16:45,0.261415117
17:00,0.283164144
17:15,0.300096466
17:30,0.315103552
17:45,0.331083388
18:00,0.340483848
18:15,0.336155547
18:30,0.320956041
18:45,0.301301823
19:00,0.277312811
19:15,0.245498585
19:30,0.21384493
19:45,0.190873135
20:00,0.173949863
20:15,0.158005921
20:30,0.143646963
20:45,0.135342665
21:00,0.128891912
21:15,0.11844288
21:30,0.107499701
21:45,0.101159294
22:00,0.099016018
22:15,0.095899585
22:30,0.091442518
22:45,0.08828577
23:00,0.080938397
23:15,0.071456164
23:30,0.059839077
23:45,0.046087126
