,country,gdpcap,value,total,continent
0,Angola,7753.698880746179,26.2,0.22888413072416416,Africa
1,Albania,11083.82337214017,30.7,0.2398561744452199,Europe
2,United Arab Emirates,68304.87077481134,40.1,0.15616802889184567,Asia
3,Argentina,21238.336676771734,34.3,0.31453723748889495,South America
4,Armenia,10704.471940860412,37.3,0.21574940308022197,Asia
5,Australia,48099.39010973446,55.2,0.28240650446145593,Oceania
6,Austria,51712.44394295894,54.1,0.43778331188692565,Europe
7,Azerbaijan,14567.219709656652,30.1,0.16506068407502758,Asia
8,Burundi,784.1285920938473,21.0,,Africa
9,Belgium,47059.68272333128,50.9,0.4649920086776641,Europe
10,Burkina Faso,1705.4193706619387,28.7,0.13569276701104024,Africa
11,Bangladesh,3607.0411181436325,23.7,0.08498350510158978,Asia
12,Bulgaria,18405.631709529553,42.2,0.28932394082495916,Europe
13,Bahrain,47910.057970945825,37.7,0.010370021413276231,Asia
14,Bosnia and Herzegovina,11838.713584323728,32.3,0.3767338430525432,Europe
15,Belarus,19615.959974460304,38.2,0.3558216944343232,Europe
16,Bolivia,7338.05528633186,28.6,0.31295744876793063,South America
17,Brazil,15077.621791397522,34.9,0.3367732052399284,South America
18,Barbados,17019.9858729681,42.5,0.2539766727465536,North America
19,Bhutan,9246.140751051691,26.1,0.14090440204563268,Asia
20,Botswana,15754.617927388676,30.5,0.23893308504374736,Africa
21,Canada,46068.41191787996,55.7,0.32820354946644964,North America
22,Switzerland,67584.73171804707,68.3,0.26744620351969595,Europe
23,Chile,23392.81323874043,41.2,0.18759286787274826,South America
24,China,12699.512421339488,47.5,0.24327401334982807,Asia
25,Cameroon,3306.137553282702,27.8,0.14063710751430925,Africa
26,Colombia,13459.522779846504,36.4,0.1996534073327526,South America
27,Costa Rica,17149.188838905204,38.6,0.13412677416617835,North America
28,Cyprus,32284.916631031025,43.5,0.24128271080295238,Asia
29,Germany,47871.16014712827,57.1,0.3860451129807216,Europe
30,Denmark,48888.63460776153,57.7,0.46979586124260936,Europe
31,Dominican Republic,14968.819237225824,30.6,0.1283758276037696,North America
32,Algeria,11826.535707476021,24.4,,Africa
33,Ecuador,11267.826857788234,26.9,0.15690653640850036,South America
34,Egypt,11574.621586313498,28.9,,Africa
35,Spain,36533.87638213173,49.1,0.3464731484145176,Europe
36,Estonia,31048.763494763654,52.8,0.3331467135020691,Europe
37,Ethiopia,1593.0212887018376,24.2,,Africa
38,Finland,43314.657450609564,60.0,0.43667242235731013,Europe
39,Fiji,12474.78105173452,27.3,0.237390175523315,Oceania
40,France,41630.88077771271,53.6,0.47220834868519806,Europe
41,United Kingdom,44231.82951947905,62.4,0.3377484606488717,Europe
42,Georgia,11187.550367366495,33.8,0.23606306173567115,Asia
43,Ghana,5320.709558854553,28.0,0.11740752443195362,Africa
44,Guinea,1922.7691061335427,18.5,0.1303225022406538,Africa
45,Greece,27648.734140106477,40.3,0.39818863210493444,Europe
46,Guatemala,7738.395692268522,28.8,0.10819627380712696,North America
47,Guyana,11318.774364943734,30.7,0.16169054308334474,South America
48,Honduras,4886.300423761176,27.5,0.20823831020291395,North America
49,Croatia,23431.296694042867,41.7,0.3720536710023494,Europe
50,Hungary,28587.369091574972,43.0,0.38817447593990495,Europe
51,Indonesia,10295.90032722554,29.8,0.10757974990970241,Asia
52,India,5464.432598533348,31.7,0.16823866330425716,Asia
53,Ireland,75574.70029070861,59.1,0.24021599635237573,Europe
54,Iran,13560.282698099423,28.4,0.06938570317652486,Asia
55,Iceland,51069.50246674418,57.0,0.3513868065863211,Europe
56,Israel,38428.14790141994,53.5,0.3202318474449864,Asia
57,Italy,37913.79742784626,46.4,0.4324149888845931,Europe
58,Jamaica,8393.665653717148,29.9,0.24337167405764965,North America
59,Jordan,9657.327714123072,33.8,0.1501879767857795,Asia
60,Japan,39804.904527465704,54.0,0.30394660134716817,Asia
61,Kazakhstan,23496.258198262512,31.2,0.15891250136299817,Asia
62,Kenya,3354.848474683832,30.2,0.1625993091943003,Africa
63,Kyrgyzstan,3990.083869437288,28.0,0.25301993779167414,Asia
64,Cambodia,3357.450755925547,30.4,0.14582878414942518,Asia
65,Kuwait,51145.98050209212,33.2,0.01160328372929539,Asia
66,Lebanon,14730.211187892623,33.8,0.1364632222073304,Asia
67,Sri Lanka,11580.057565929104,30.8,0.12518878885811216,Asia
68,Lesotho,3052.9358768226502,27.0,0.3342386277695815,Africa
69,Lithuania,29854.321821663914,42.3,0.2899350398971778,Europe
70,Luxembourg,106534.16171363993,59.0,0.38342855222217953,Europe
71,Latvia,25788.687556127777,45.5,0.3018840438092912,Europe
72,Morocco,7329.517938455503,33.2,0.21211498985575586,Africa
73,Madagascar,1610.9921603507423,24.4,0.0894530918365688,Africa
74,Mexico,18906.102777211865,38.0,0.12782393648325363,North America
75,North Macedonia,14282.367458380786,38.0,0.2518990829299012,Europe
76,Mali,2036.6208966878298,28.4,0.13971834330829805,Africa
77,Malta,40261.56006160638,50.5,0.30302510753225964,Europe
78,Myanmar,4554.714007263302,20.3,0.07888321544336803,Asia
79,Montenegro,16213.654621496566,41.2,0.36060191518467855,Europe
80,Mongolia,11190.680957241419,36.4,0.22120577666294175,Asia
81,Mozambique,1270.5736605133748,30.1,0.2016432513798294,Africa
82,Mauritius,20341.767038209357,39.2,0.0892169419824198,Africa
83,Malawi,1052.3499018650184,29.7,0.1517326009567524,Africa
84,Malaysia,25183.97416639749,46.0,0.1405686436278454,Asia
85,Namibia,10830.132392909167,28.1,0.33501804559680587,Africa
86,Niger,1135.4035404143644,21.2,0.11961843675052883,Africa
87,Nigeria,5529.936719656115,23.7,,Africa
88,Nicaragua,5202.017960097955,23.5,0.2230814104979192,North America
89,Netherlands,51518.36358109417,61.6,0.37464493165296636,Europe
90,Norway,61786.89457705974,53.8,0.3854576848766493,Europe
91,Nepal,2501.9951508661975,21.1,0.14686295374439687,Asia
92,New Zealand,37839.949154107075,55.9,0.33211449647464686,Oceania
93,Oman,33854.65120843203,35.0,,Asia
94,Pakistan,4512.615079473406,23.1,0.11402571582865151,Asia
95,Panama,25095.009445665313,36.8,0.14900000000000002,North America
96,Peru,11730.964332857882,34.9,0.14887436901425088,South America
97,Philippines,7082.621076496938,31.1,0.1301960820874115,Asia
98,Poland,28126.5749855544,40.2,0.33393129792183707,Europe
99,Portugal,30286.361350999792,46.6,0.3695198601438628,Europe
100,Paraguay,11665.736512868032,30.7,0.10753340931196036,South America
101,Qatar,102700.21504768662,39.0,,Asia
102,Romania,22062.883387473386,38.2,0.2799315943983257,Europe
103,Russian Federation,26028.330629962787,39.3,0.29251169250692644,Europe
104,Rwanda,1886.0122371695982,30.1,0.15175547669148592,Africa
105,Saudi Arabia,52832.09354584623,40.7,0.016710753165872567,Asia
106,Sudan,4052.2232247168918,15.0,0.060233112017789504,Africa
107,Senegal,2952.3174075703064,31.0,0.15290939749634824,Africa
108,Singapore,80733.93525426349,59.4,0.13141596055204466,Asia
109,El Salvador,7663.255149227114,29.3,0.16752856453238332,North America
110,Serbia,15287.52922851381,36.5,0.3244480906229867,Europe
111,Slovakia,31316.83643752285,43.0,0.3288380302878347,Europe
112,Slovenia,33253.772180992746,48.5,0.37615553496512494,Europe
113,Sweden,52431.745682261564,62.4,0.4324287550434576,Europe
114,Seychelles,25763.611766507773,36.4,0.2959863332279171,Africa
115,Togo,1823.505694196411,18.4,0.1404836525604505,Africa
116,Thailand,16126.3735835943,38.1,0.18686257333701412,Asia
117,Tajikistan,2801.867512888531,27.5,0.21999999999999997,Asia
118,Trinidad and Tobago,27833.091671300594,32.2,,North America
119,Tunisia,10612.79368872792,33.5,0.3024383331955744,Africa
120,Turkey,25297.968306370418,37.8,0.2495691153325904,Asia
121,Uganda,1911.3113502539786,27.6,0.10002515828755923,Africa
122,Ukraine,10503.12300492865,36.5,0.34451442864729165,Europe
123,Uruguay,21130.457891523733,35.8,0.265734441606806,South America
124,Uzbekistan,10184.796697864118,25.9,0.24601407058892938,Asia
125,Yemen,2373.9682975311734,20.8,,Asia
126,South Africa,12946.360518645319,37.4,0.2945156176675852,Africa
127,Zambia,3257.2247987497735,24.6,0.14416433545459997,Africa
128,Zimbabwe,2905.732552607819,22.5,0.1777287982768121,Africa
