,id,day,name,unit,average,subtitle,parameter,displayName,parameterId,measurement_count
0,58273,2021-12-06,US,µg/m³,23.1588,United States of America,pm25,PM2.5,2,13352664
1,58386,2021-12-06,DE,µg/m³,25.4177,Germany,pm25,PM2.5,2,23118
2,58405,2021-12-06,GB,µg/m³,10.1239,United Kingdom,pm25,PM2.5,2,106659
3,58386,2021-12-05,DE,µg/m³,11.2637,Germany,pm25,PM2.5,2,38433
4,58405,2021-12-05,GB,µg/m³,4.7859,United Kingdom,pm25,PM2.5,2,151413
5,58273,2021-12-05,US,µg/m³,22.2708,United States of America,pm25,PM2.5,2,19207416
6,58405,2021-12-04,GB,µg/m³,6.6313,United Kingdom,pm25,PM2.5,2,145530
7,58386,2021-12-04,DE,µg/m³,13.4189,Germany,pm25,PM2.5,2,35898
8,58273,2021-12-04,US,µg/m³,23.4876,United States of America,pm25,PM2.5,2,18796911
9,58273,2021-12-03,US,µg/m³,25.0993,United States of America,pm25,PM2.5,2,19548321
10,58386,2021-12-03,DE,µg/m³,13.9579,Germany,pm25,PM2.5,2,30291
11,58405,2021-12-03,GB,µg/m³,11.4685,United Kingdom,pm25,PM2.5,2,148512
12,58386,2021-12-02,DE,µg/m³,12.1238,Germany,pm25,PM2.5,2,11433
13,58273,2021-12-02,US,µg/m³,25.5543,United States of America,pm25,PM2.5,2,6958797
14,58405,2021-12-02,GB,µg/m³,12.6917,United Kingdom,pm25,PM2.5,2,59007
15,58386,2021-12-01,DE,µg/m³,2.4127,Germany,pm25,PM2.5,2,33795
16,58405,2021-12-01,GB,µg/m³,2.1678,United Kingdom,pm25,PM2.5,2,138270
17,58273,2021-12-01,US,µg/m³,20.1293,United States of America,pm25,PM2.5,2,19163388
18,58386,2021-11-30,DE,µg/m³,5.4201,Germany,pm25,PM2.5,2,28785
19,58405,2021-11-30,GB,µg/m³,4.913,United Kingdom,pm25,PM2.5,2,143034
20,58273,2021-11-30,US,μg/m³,6.157,United States of America,pm25,,97,1752
21,58273,2021-11-30,US,µg/m³,17.947,United States of America,pm25,PM2.5,2,18967200
22,58386,2021-11-29,DE,µg/m³,18.0093,Germany,pm25,PM2.5,2,31659
23,58273,2021-11-29,US,μg/m³,4.8676,United States of America,pm25,,97,8262
24,58273,2021-11-29,US,µg/m³,20.2766,United States of America,pm25,PM2.5,2,18849816
25,58405,2021-11-29,GB,µg/m³,19.6433,United Kingdom,pm25,PM2.5,2,151368
26,58273,2021-11-28,US,µg/m³,17.6446,United States of America,pm25,PM2.5,2,19594677
27,58386,2021-11-28,DE,µg/m³,24.1305,Germany,pm25,PM2.5,2,31155
28,58405,2021-11-28,GB,µg/m³,8.3692,United Kingdom,pm25,PM2.5,2,154605
29,58273,2021-11-28,US,μg/m³,11.0741,United States of America,pm25,,97,8016
30,58386,2021-11-27,DE,µg/m³,15.9622,Germany,pm25,PM2.5,2,31137
31,58273,2021-11-27,US,μg/m³,5.6359,United States of America,pm25,,97,7947
32,58273,2021-11-27,US,µg/m³,15.2605,United States of America,pm25,PM2.5,2,19287690
33,58405,2021-11-27,GB,µg/m³,2.6045,United Kingdom,pm25,PM2.5,2,140586
34,58405,2021-11-26,GB,µg/m³,3.3362,United Kingdom,pm25,PM2.5,2,151101
35,58273,2021-11-26,US,μg/m³,3.8308,United States of America,pm25,,97,7980
36,58386,2021-11-26,DE,µg/m³,22.9307,Germany,pm25,PM2.5,2,29295
37,58273,2021-11-26,US,µg/m³,19.3958,United States of America,pm25,PM2.5,2,19471374
38,58273,2021-11-25,US,µg/m³,13.7261,United States of America,pm25,PM2.5,2,18077244
39,58405,2021-11-25,GB,µg/m³,9.6162,United Kingdom,pm25,PM2.5,2,140610
40,58386,2021-11-25,DE,µg/m³,25.9493,Germany,pm25,PM2.5,2,37623
41,58273,2021-11-25,US,μg/m³,7.2557,United States of America,pm25,,97,8181
42,58405,2021-11-24,GB,µg/m³,22.3443,United Kingdom,pm25,PM2.5,2,143949
43,58386,2021-11-24,DE,µg/m³,21.3532,Germany,pm25,PM2.5,2,31248
44,58273,2021-11-24,US,µg/m³,10.3993,United States of America,pm25,PM2.5,2,19316481
45,58273,2021-11-24,US,μg/m³,10.8411,United States of America,pm25,,97,8130
46,58273,2021-11-23,US,μg/m³,6.0074,United States of America,pm25,,97,7992
47,58386,2021-11-23,DE,µg/m³,18.5653,Germany,pm25,PM2.5,2,33963
48,58273,2021-11-23,US,µg/m³,15.0708,United States of America,pm25,PM2.5,2,19099626
49,58405,2021-11-23,GB,µg/m³,21.2226,United Kingdom,pm25,PM2.5,2,148770
50,58386,2021-11-22,DE,µg/m³,9.6285,Germany,pm25,PM2.5,2,30300
51,58273,2021-11-22,US,µg/m³,13.692,United States of America,pm25,PM2.5,2,18973128
52,58273,2021-11-22,US,μg/m³,7.4152,United States of America,pm25,,97,7992
53,58405,2021-11-22,GB,µg/m³,8.9708,United Kingdom,pm25,PM2.5,2,145686
54,58273,2021-11-21,US,μg/m³,9.01,United States of America,pm25,,97,7908
55,58273,2021-11-21,US,µg/m³,14.5563,United States of America,pm25,PM2.5,2,18578250
56,58405,2021-11-21,GB,µg/m³,4.0997,United Kingdom,pm25,PM2.5,2,146445
57,58386,2021-11-21,DE,µg/m³,18.2644,Germany,pm25,PM2.5,2,36309
58,58405,2021-11-20,GB,µg/m³,10.9301,United Kingdom,pm25,PM2.5,2,148311
59,58273,2021-11-20,US,μg/m³,7.7337,United States of America,pm25,,97,7893
60,58386,2021-11-20,DE,µg/m³,25.3015,Germany,pm25,PM2.5,2,34854
61,58273,2021-11-20,US,µg/m³,15.7135,United States of America,pm25,PM2.5,2,19086708
62,58386,2021-11-19,DE,µg/m³,14.1584,Germany,pm25,PM2.5,2,32172
63,58405,2021-11-19,GB,µg/m³,9.1235,United Kingdom,pm25,PM2.5,2,157053
64,58273,2021-11-19,US,μg/m³,5.2707,United States of America,pm25,,97,7980
65,58273,2021-11-19,US,µg/m³,20.9359,United States of America,pm25,PM2.5,2,19573845
66,58273,2021-11-18,US,µg/m³,20.9157,United States of America,pm25,PM2.5,2,18763050
67,58405,2021-11-18,GB,µg/m³,7.252,United Kingdom,pm25,PM2.5,2,141894
68,58386,2021-11-18,DE,µg/m³,15.9318,Germany,pm25,PM2.5,2,29106
69,58273,2021-11-18,US,μg/m³,7.7504,United States of America,pm25,,97,7974
70,58386,2021-11-17,DE,µg/m³,15.0212,Germany,pm25,PM2.5,2,35151
71,58273,2021-11-17,US,μg/m³,10.8912,United States of America,pm25,,97,7986
72,58273,2021-11-17,US,µg/m³,15.9061,United States of America,pm25,PM2.5,2,19071420
73,58405,2021-11-17,GB,µg/m³,7.7178,United Kingdom,pm25,PM2.5,2,146472
74,58273,2021-11-16,US,µg/m³,16.8651,United States of America,pm25,PM2.5,2,19021557
75,58405,2021-11-16,GB,µg/m³,18.6302,United Kingdom,pm25,PM2.5,2,152286
76,58273,2021-11-16,US,μg/m³,8.6974,United States of America,pm25,,97,1512
77,58386,2021-11-16,DE,µg/m³,27.5303,Germany,pm25,PM2.5,2,26925
78,58386,2021-11-15,DE,µg/m³,28.5006,Germany,pm25,PM2.5,2,31035
79,58273,2021-11-15,US,µg/m³,17.6729,United States of America,pm25,PM2.5,2,18907587
80,58405,2021-11-15,GB,µg/m³,24.1367,United Kingdom,pm25,PM2.5,2,147114
81,58405,2021-11-14,GB,µg/m³,15.4691,United Kingdom,pm25,PM2.5,2,133584
82,58273,2021-11-14,US,µg/m³,14.2589,United States of America,pm25,PM2.5,2,17998773
83,58386,2021-11-14,DE,µg/m³,26.343,Germany,pm25,PM2.5,2,27816
84,58386,2021-11-13,DE,µg/m³,30.1881,Germany,pm25,PM2.5,2,25446
85,58273,2021-11-13,US,µg/m³,13.5543,United States of America,pm25,PM2.5,2,18483762
86,58405,2021-11-13,GB,µg/m³,5.9833,United Kingdom,pm25,PM2.5,2,145164
87,58273,2021-11-12,US,μg/m³,5.1049,United States of America,pm25,,97,7218
88,58405,2021-11-12,GB,µg/m³,7.7145,United Kingdom,pm25,PM2.5,2,144924
89,58273,2021-11-12,US,µg/m³,11.6553,United States of America,pm25,PM2.5,2,18386910
90,58386,2021-11-12,DE,µg/m³,27.5326,Germany,pm25,PM2.5,2,23343
91,58273,2021-11-11,US,μg/m³,9.5403,United States of America,pm25,,97,8028
92,58273,2021-11-11,US,µg/m³,11.4563,United States of America,pm25,PM2.5,2,18618486
93,58386,2021-11-11,DE,µg/m³,32.0852,Germany,pm25,PM2.5,2,27354
94,58405,2021-11-11,GB,µg/m³,12.6742,United Kingdom,pm25,PM2.5,2,136581
95,58405,2021-11-10,GB,µg/m³,9.3456,United Kingdom,pm25,PM2.5,2,152838
96,58273,2021-11-10,US,μg/m³,16.0435,United States of America,pm25,,97,7944
97,58273,2021-11-10,US,µg/m³,10.7904,United States of America,pm25,PM2.5,2,18849330
98,58386,2021-11-10,DE,µg/m³,24.5953,Germany,pm25,PM2.5,2,25293
99,58273,2021-11-09,US,µg/m³,11.0819,United States of America,pm25,PM2.5,2,18520644
